fault_type,priority,distance_km,hour_of_day,is_weekend,historical_fault_count,resolution_minutes
ISINMA,YUKSEK,15.39,1,0,2,184.7
ISINMA,YUKSEK,3.43,16,1,2,105.6
GUC_KESINTISI,YUKSEK,18.62,23,0,1,74.2
DONANIM,YUKSEK,2.99,11,0,1,131.1
BELIRSIZ,ORTA,0.38,3,0,0,103.2
ISINMA,ORTA,0.73,11,0,0,55.1
GUC_KESINTISI,YUKSEK,1.55,17,1,1,122.5
DONANIM,DUSUK,8.73,17,0,2,257.6
YAZILIM,DUSUK,16.19,18,0,6,101.0
BAGLANTI,ORTA,3.73,14,0,1,59.9
GUC_KESINTISI,YUKSEK,6.42,0,1,0,224.1
YAZILIM,ORTA,25.49,4,0,1,71.1
DONANIM,YUKSEK,19.81,8,0,1,166.1
DONANIM,YUKSEK,13.95,0,0,1,284.9
BELIRSIZ,DUSUK,10.74,6,0,0,149.0
ISINMA,YUKSEK,3.27,8,1,1,191.1
YAZILIM,DUSUK,7.49,1,0,4,109.0
ISINMA,KRITIK,4.99,10,1,2,55.2
BELIRSIZ,ORTA,6.68,18,0,1,229.3
BELIRSIZ,KRITIK,0.3,23,0,4,207.5
GUC_KESINTISI,ORTA,2.09,3,0,0,97.0
GUC_KESINTISI,DUSUK,2.57,7,0,0,210.3
GUC_KESINTISI,ORTA,3.03,18,1,2,141.0
DONANIM,ORTA,10.11,9,0,0,149.9
BAGLANTI,YUKSEK,4.56,19,1,1,33.3
BAGLANTI,ORTA,10.96,12,0,1,107.4
ISINMA,ORTA,6.86,18,1,0,103.8
BAGLANTI,ORTA,1.99,2,0,2,85.8
DONANIM,DUSUK,5.32,12,1,4,211.0
BELIRSIZ,DUSUK,14.58,1,1,0,119.2
BAGLANTI,ORTA,10.04,5,0,1,117.0
ISINMA,YUKSEK,1.75,9,1,1,93.4
DONANIM,ORTA,12.78,14,1,1,179.6
DONANIM,ORTA,12.83,3,1,1,300.8
BAGLANTI,YUKSEK,4.3,7,0,1,97.9
ISINMA,YUKSEK,3.78,11,1,4,147.7
BAGLANTI,YUKSEK,0.92,15,0,0,104.3
DONANIM,ORTA,7.06,1,0,1,301.4
GUC_KESINTISI,YUKSEK,6.7,20,0,1,81.6
GUC_KESINTISI,YUKSEK,0.3,13,0,2,219.0
ISINMA,KRITIK,11.7,17,0,1,89.0
GUC_KESINTISI,KRITIK,7.15,2,1,2,136.8
BAGLANTI,ORTA,2.78,13,0,0,83.0
BELIRSIZ,ORTA,6.92,10,0,2,103.9
BAGLANTI,KRITIK,2.2,17,0,0,53.2
YAZILIM,DUSUK,5.75,3,0,1,89.4
GUC_KESINTISI,KRITIK,10.73,14,0,0,103.2
YAZILIM,ORTA,1.16,7,0,1,37.7
YAZILIM,ORTA,5.28,2,1,1,54.4
DONANIM,DUSUK,3.2,3,1,1,239.1
DONANIM,ORTA,10.76,14,0,1,170.5
DONANIM,KRITIK,9.05,20,0,1,211.0
DONANIM,KRITIK,1.22,0,0,1,159.4
DONANIM,ORTA,9.47,4,0,0,254.5
YAZILIM,ORTA,10.14,16,1,1,81.7
BELIRSIZ,ORTA,12.16,1,0,0,255.3
GUC_KESINTISI,DUSUK,0.66,7,0,1,90.4
GUC_KESINTISI,ORTA,21.35,14,0,1,111.2
BELIRSIZ,DUSUK,31.37,16,1,2,243.3
YAZILIM,ORTA,13.21,11,0,3,47.8
DONANIM,YUKSEK,12.25,14,1,2,204.1
BELIRSIZ,ORTA,11.53,5,1,0,140.7
BELIRSIZ,YUKSEK,2.94,12,0,2,118.3
GUC_KESINTISI,ORTA,1.86,2,0,2,112.4
BAGLANTI,YUKSEK,1.95,4,0,1,50.1
DONANIM,ORTA,5.91,10,0,1,256.4
ISINMA,YUKSEK,13.1,16,0,1,158.1
BELIRSIZ,ORTA,1.73,20,0,1,118.6
GUC_KESINTISI,KRITIK,4.91,9,0,2,111.9
BELIRSIZ,ORTA,7.0,6,0,1,152.2
GUC_KESINTISI,KRITIK,9.36,1,0,0,53.9
YAZILIM,DUSUK,0.3,7,0,2,49.3
GUC_KESINTISI,KRITIK,7.81,15,1,0,127.6
BAGLANTI,ORTA,17.72,17,0,3,200.5
GUC_KESINTISI,KRITIK,11.19,7,0,0,172.2
GUC_KESINTISI,YUKSEK,16.97,12,0,2,138.2
DONANIM,ORTA,1.73,9,1,1,158.0
ISINMA,ORTA,3.78,13,0,0,59.4
ISINMA,ORTA,5.57,0,0,3,91.5
BELIRSIZ,ORTA,7.44,10,0,1,94.3
YAZILIM,ORTA,19.66,15,0,1,74.2
ISINMA,DUSUK,26.26,8,0,3,57.8
BAGLANTI,YUKSEK,3.34,19,1,0,39.5
DONANIM,ORTA,3.9,4,0,2,216.5
BELIRSIZ,DUSUK,2.73,22,1,3,157.0
YAZILIM,YUKSEK,2.56,14,1,6,53.5
BAGLANTI,ORTA,9.62,4,0,2,114.4
DONANIM,ORTA,4.02,15,0,1,124.7
YAZILIM,YUKSEK,2.62,13,0,2,73.3
GUC_KESINTISI,YUKSEK,7.81,16,0,2,88.4
DONANIM,YUKSEK,3.49,18,1,1,269.5
GUC_KESINTISI,ORTA,5.09,15,1,2,125.3
GUC_KESINTISI,YUKSEK,11.89,2,0,2,216.4
DONANIM,ORTA,18.74,10,0,2,134.0
ISINMA,ORTA,1.05,0,0,3,128.6
BAGLANTI,YUKSEK,3.03,13,0,0,52.4
ISINMA,ORTA,6.78,8,0,2,152.2
BAGLANTI,DUSUK,6.12,1,1,2,150.8
BELIRSIZ,ORTA,16.58,23,0,1,123.7
BELIRSIZ,DUSUK,24.28,9,0,4,171.6
YAZILIM,DUSUK,2.11,22,0,2,93.1
GUC_KESINTISI,ORTA,15.5,18,0,1,116.5
GUC_KESINTISI,YUKSEK,16.43,18,0,1,99.1
GUC_KESINTISI,YUKSEK,1.24,10,0,2,96.9
GUC_KESINTISI,YUKSEK,2.33,1,1,0,97.6
DONANIM,ORTA,1.01,7,0,0,158.2
GUC_KESINTISI,YUKSEK,8.59,21,0,1,148.3
GUC_KESINTISI,YUKSEK,4.36,1,0,0,139.3
BAGLANTI,YUKSEK,7.11,12,0,2,34.1
BELIRSIZ,ORTA,9.5,22,0,0,158.2
DONANIM,ORTA,1.97,4,0,2,196.4
YAZILIM,YUKSEK,5.84,14,0,0,63.0
BAGLANTI,ORTA,0.3,18,0,1,63.1
BELIRSIZ,ORTA,0.5,9,0,1,161.0
ISINMA,YUKSEK,0.3,14,1,1,178.4
GUC_KESINTISI,YUKSEK,4.29,2,0,0,133.2
YAZILIM,ORTA,3.62,18,0,3,60.7
YAZILIM,DUSUK,14.03,22,0,0,82.8
BELIRSIZ,DUSUK,12.42,16,0,0,125.4
BAGLANTI,ORTA,7.34,11,0,2,116.7
DONANIM,ORTA,0.33,4,0,0,220.3
GUC_KESINTISI,KRITIK,0.85,23,0,1,106.1
YAZILIM,ORTA,19.78,8,0,3,63.8
BELIRSIZ,YUKSEK,5.13,19,1,1,126.7
YAZILIM,YUKSEK,0.84,20,0,3,104.7
BAGLANTI,ORTA,8.17,20,0,1,69.0
ISINMA,ORTA,14.89,0,1,0,102.5
BELIRSIZ,YUKSEK,2.86,4,0,3,218.1
YAZILIM,KRITIK,4.72,18,0,0,34.7
GUC_KESINTISI,YUKSEK,9.45,16,0,1,175.4
BAGLANTI,YUKSEK,6.7,13,0,2,186.2
ISINMA,YUKSEK,9.04,10,0,0,83.6
BAGLANTI,ORTA,6.74,2,1,1,84.8
ISINMA,KRITIK,8.3,1,0,2,111.8
BAGLANTI,KRITIK,1.14,15,0,1,153.3
ISINMA,YUKSEK,3.1,19,0,0,68.4
GUC_KESINTISI,YUKSEK,0.45,15,0,1,81.6
DONANIM,YUKSEK,1.67,23,0,0,126.3
YAZILIM,ORTA,2.35,22,0,1,48.9
BAGLANTI,KRITIK,18.16,20,1,2,67.1
DONANIM,ORTA,13.15,13,0,1,138.1
YAZILIM,ORTA,4.46,12,1,1,55.1
BAGLANTI,ORTA,2.92,15,0,0,86.3
YAZILIM,YUKSEK,1.49,1,0,6,77.0
YAZILIM,DUSUK,1.01,5,0,1,50.2
DONANIM,YUKSEK,0.87,3,0,1,196.1
DONANIM,YUKSEK,11.27,7,0,1,208.6
GUC_KESINTISI,YUKSEK,14.77,2,1,2,165.0
DONANIM,ORTA,2.38,20,0,1,116.5
YAZILIM,ORTA,5.96,12,0,1,45.7
BAGLANTI,YUKSEK,11.14,12,0,0,38.8
BAGLANTI,YUKSEK,27.91,3,0,1,102.0
ISINMA,YUKSEK,0.4,11,0,0,141.8
GUC_KESINTISI,DUSUK,2.71,10,1,1,116.4
ISINMA,KRITIK,10.56,5,0,3,107.2
BAGLANTI,YUKSEK,2.88,20,1,1,90.1
BAGLANTI,YUKSEK,1.78,13,0,0,149.7
BELIRSIZ,DUSUK,9.22,17,1,1,190.5
BELIRSIZ,ORTA,0.3,21,0,3,178.4
BELIRSIZ,ORTA,16.19,15,0,1,186.8
BAGLANTI,YUKSEK,0.35,6,0,1,66.5
DONANIM,ORTA,0.8,1,0,6,201.7
BELIRSIZ,ORTA,5.49,14,0,0,91.3
BELIRSIZ,DUSUK,6.29,12,1,5,213.1
BAGLANTI,YUKSEK,17.28,1,1,0,116.6
DONANIM,DUSUK,26.13,18,0,3,165.6
ISINMA,YUKSEK,0.85,22,1,4,93.1
BELIRSIZ,YUKSEK,4.18,20,0,0,75.9
YAZILIM,YUKSEK,6.6,11,0,0,73.7
BAGLANTI,ORTA,5.7,7,1,3,83.8
DONANIM,ORTA,3.07,9,1,2,124.4
GUC_KESINTISI,YUKSEK,9.97,20,0,1,95.8
BAGLANTI,ORTA,13.94,16,1,1,150.2
BELIRSIZ,ORTA,0.3,18,0,3,182.4
YAZILIM,ORTA,0.6,13,0,1,60.7
BELIRSIZ,ORTA,0.3,1,0,2,159.7
BELIRSIZ,DUSUK,11.34,21,0,1,164.1
BAGLANTI,DUSUK,3.51,16,0,1,84.6
BELIRSIZ,KRITIK,8.01,7,0,1,136.8
BAGLANTI,YUKSEK,3.07,12,1,1,57.3
DONANIM,YUKSEK,2.04,20,0,1,180.5
DONANIM,ORTA,0.47,17,0,1,224.8
DONANIM,YUKSEK,4.86,6,0,2,210.4
BELIRSIZ,ORTA,6.95,13,0,1,233.8
BAGLANTI,YUKSEK,10.17,5,0,3,133.2
YAZILIM,ORTA,12.53,13,0,1,60.6
GUC_KESINTISI,ORTA,13.53,16,0,5,134.8
GUC_KESINTISI,YUKSEK,29.38,8,0,3,116.9
DONANIM,ORTA,1.31,17,1,2,269.6
GUC_KESINTISI,ORTA,10.42,11,0,1,187.8
BELIRSIZ,YUKSEK,3.71,19,1,4,170.8
GUC_KESINTISI,ORTA,5.47,7,1,1,117.2
DONANIM,YUKSEK,4.7,5,1,2,139.2
BAGLANTI,YUKSEK,6.45,21,0,1,55.8
YAZILIM,KRITIK,1.63,20,0,0,37.3
BELIRSIZ,KRITIK,31.21,7,1,4,134.5
BAGLANTI,KRITIK,14.21,5,0,0,54.1
GUC_KESINTISI,KRITIK,6.72,16,1,1,75.3
ISINMA,KRITIK,0.71,5,0,2,37.0
ISINMA,KRITIK,0.38,19,0,1,129.9
BAGLANTI,ORTA,0.59,5,0,1,54.1
YAZILIM,YUKSEK,3.12,4,1,2,89.1
ISINMA,ORTA,0.43,13,0,2,102.8
DONANIM,ORTA,7.22,16,0,1,151.5
YAZILIM,ORTA,22.39,15,0,4,175.6
GUC_KESINTISI,KRITIK,15.62,6,0,1,66.9
BELIRSIZ,YUKSEK,7.57,9,0,2,233.3
ISINMA,ORTA,0.57,18,0,0,133.5
BAGLANTI,YUKSEK,6.74,22,0,2,91.3
BAGLANTI,YUKSEK,6.86,13,1,0,74.8
BAGLANTI,KRITIK,28.66,3,1,1,76.9
DONANIM,YUKSEK,11.36,16,1,1,130.6
BELIRSIZ,DUSUK,0.73,5,0,1,121.9
BAGLANTI,YUKSEK,0.7,20,0,1,109.1
YAZILIM,ORTA,5.86,23,0,0,146.5
YAZILIM,ORTA,19.61,21,1,1,65.1
ISINMA,ORTA,10.49,6,0,0,80.4
YAZILIM,YUKSEK,9.08,21,1,1,81.7
BAGLANTI,KRITIK,13.83,10,0,3,69.7
BELIRSIZ,ORTA,21.49,23,0,0,167.1
DONANIM,YUKSEK,9.84,3,0,2,168.4
ISINMA,ORTA,3.96,11,0,0,80.7
BELIRSIZ,ORTA,2.36,17,0,1,147.0
BAGLANTI,ORTA,13.38,11,0,0,112.1
ISINMA,YUKSEK,0.3,8,0,0,138.7
YAZILIM,DUSUK,20.93,23,0,0,85.3
GUC_KESINTISI,YUKSEK,6.85,14,0,1,145.4
BAGLANTI,KRITIK,5.3,11,0,1,65.0
DONANIM,DUSUK,13.98,11,0,0,183.7
DONANIM,YUKSEK,7.12,22,1,4,207.6
GUC_KESINTISI,KRITIK,7.84,12,0,1,71.7
YAZILIM,DUSUK,8.28,1,0,0,51.3
BELIRSIZ,ORTA,6.39,12,0,3,141.1
ISINMA,YUKSEK,8.74,16,0,1,126.8
BAGLANTI,ORTA,11.04,22,0,0,100.9
DONANIM,DUSUK,3.26,22,0,0,187.7
BAGLANTI,ORTA,3.06,12,0,1,31.9
BAGLANTI,KRITIK,45.0,12,0,2,81.3
BAGLANTI,DUSUK,9.8,9,1,2,97.4
GUC_KESINTISI,KRITIK,4.6,14,1,1,130.9
YAZILIM,ORTA,6.45,8,0,0,53.1
DONANIM,ORTA,7.49,22,0,3,195.3
YAZILIM,KRITIK,4.29,4,0,3,21.7
GUC_KESINTISI,KRITIK,11.01,4,0,2,145.6
BELIRSIZ,ORTA,12.72,9,0,2,84.8
ISINMA,DUSUK,6.47,21,0,0,95.6
GUC_KESINTISI,KRITIK,20.07,15,0,1,47.5
BAGLANTI,ORTA,2.35,17,0,3,110.6
YAZILIM,KRITIK,7.1,7,1,2,57.2
BELIRSIZ,DUSUK,9.23,4,0,0,204.2
GUC_KESINTISI,KRITIK,5.51,12,1,2,44.9
BELIRSIZ,YUKSEK,0.89,23,0,1,110.2
GUC_KESINTISI,YUKSEK,0.87,12,1,0,79.3
GUC_KESINTISI,YUKSEK,7.14,3,1,2,185.3
BAGLANTI,ORTA,13.71,17,1,1,97.8
DONANIM,ORTA,21.53,9,1,0,249.1
DONANIM,YUKSEK,30.95,2,0,2,267.4
YAZILIM,DUSUK,0.3,13,0,1,49.1
ISINMA,ORTA,2.44,22,0,3,74.7
BAGLANTI,YUKSEK,11.09,13,0,0,78.5
BELIRSIZ,ORTA,2.77,5,0,0,187.1
GUC_KESINTISI,YUKSEK,5.81,19,0,1,26.6
BELIRSIZ,ORTA,1.55,17,1,0,59.7
ISINMA,KRITIK,7.18,17,0,0,70.0
DONANIM,YUKSEK,2.24,10,0,1,171.7
GUC_KESINTISI,YUKSEK,11.09,20,0,3,100.3
DONANIM,ORTA,9.07,1,0,1,144.2
ISINMA,ORTA,1.5,21,1,4,181.6
DONANIM,ORTA,0.3,22,0,0,243.7
ISINMA,YUKSEK,9.39,22,0,2,79.4
DONANIM,ORTA,8.6,19,0,1,143.5
GUC_KESINTISI,ORTA,1.13,3,1,0,174.1
BELIRSIZ,ORTA,10.83,2,0,1,89.5
BELIRSIZ,YUKSEK,21.66,10,0,0,95.5
ISINMA,ORTA,0.68,1,0,1,73.5
GUC_KESINTISI,DUSUK,17.72,10,1,2,136.0
ISINMA,ORTA,8.79,21,1,1,147.0
YAZILIM,YUKSEK,39.76,11,0,0,42.2
BELIRSIZ,DUSUK,0.67,21,0,0,193.3
YAZILIM,KRITIK,10.04,16,0,2,45.5
BELIRSIZ,ORTA,2.61,8,1,1,93.2
GUC_KESINTISI,YUKSEK,2.36,15,0,0,129.1
BELIRSIZ,DUSUK,16.04,6,0,0,206.6
BAGLANTI,DUSUK,11.98,1,1,0,142.0
DONANIM,ORTA,13.16,0,1,1,194.6
YAZILIM,YUKSEK,2.08,10,0,2,68.4
GUC_KESINTISI,ORTA,15.34,19,0,3,129.1
YAZILIM,ORTA,13.64,19,0,0,52.0
ISINMA,YUKSEK,30.91,3,0,0,112.2
YAZILIM,DUSUK,0.3,12,1,0,70.9
YAZILIM,ORTA,4.31,3,1,1,62.4
BELIRSIZ,ORTA,5.15,5,0,0,122.3
BELIRSIZ,ORTA,25.83,12,0,0,120.3
ISINMA,ORTA,5.84,14,1,2,101.9
ISINMA,YUKSEK,9.51,14,0,1,52.1
BAGLANTI,ORTA,8.18,4,0,1,82.9
GUC_KESINTISI,ORTA,14.87,0,1,4,122.6
ISINMA,ORTA,5.3,22,0,1,140.5
GUC_KESINTISI,KRITIK,22.64,19,0,0,58.0
BELIRSIZ,DUSUK,24.01,1,0,1,110.1
BAGLANTI,YUKSEK,3.24,14,0,0,73.5
ISINMA,YUKSEK,7.9,23,0,0,178.7
DONANIM,KRITIK,15.2,20,1,2,191.7
DONANIM,ORTA,9.65,8,0,0,211.3
BAGLANTI,ORTA,0.3,3,0,0,52.8
YAZILIM,DUSUK,1.0,15,0,0,71.5
GUC_KESINTISI,YUKSEK,6.96,22,1,1,118.4
DONANIM,ORTA,8.55,16,1,1,150.0
DONANIM,YUKSEK,10.17,19,0,0,141.1
DONANIM,DUSUK,0.3,17,1,1,247.9
ISINMA,DUSUK,2.36,17,0,1,64.2
ISINMA,ORTA,0.83,20,1,1,80.7
YAZILIM,KRITIK,4.58,8,0,1,38.1
BAGLANTI,KRITIK,13.06,18,0,1,183.1
BELIRSIZ,ORTA,24.52,23,1,2,156.6
DONANIM,ORTA,3.27,16,0,0,184.8
BAGLANTI,YUKSEK,8.83,7,1,1,123.4
ISINMA,YUKSEK,7.33,20,1,0,103.0
DONANIM,ORTA,0.42,1,1,0,235.7
GUC_KESINTISI,KRITIK,15.14,10,0,0,209.5
DONANIM,ORTA,32.49,14,0,2,86.5
BAGLANTI,YUKSEK,0.73,12,0,2,75.1
YAZILIM,ORTA,10.07,13,0,5,80.5
BELIRSIZ,DUSUK,11.91,14,0,1,150.8
BELIRSIZ,ORTA,6.2,4,0,2,158.5
BAGLANTI,YUKSEK,5.52,17,0,4,94.6
GUC_KESINTISI,YUKSEK,1.41,13,0,0,198.7
YAZILIM,DUSUK,2.89,18,0,1,79.1
BAGLANTI,ORTA,2.07,22,0,1,36.2
BAGLANTI,ORTA,9.38,22,0,0,94.2
BELIRSIZ,ORTA,3.59,16,1,0,113.9
ISINMA,DUSUK,4.8,21,0,0,148.8
GUC_KESINTISI,YUKSEK,6.77,0,1,1,86.4
GUC_KESINTISI,YUKSEK,1.87,16,0,2,115.3
BELIRSIZ,ORTA,5.74,20,0,1,130.9
DONANIM,YUKSEK,1.36,5,0,1,210.4
ISINMA,YUKSEK,12.82,11,0,4,40.7
ISINMA,YUKSEK,0.92,19,1,0,151.8
GUC_KESINTISI,DUSUK,8.37,16,0,0,123.0
YAZILIM,KRITIK,6.38,6,0,2,27.1
BELIRSIZ,ORTA,13.34,23,1,1,103.2
DONANIM,ORTA,1.45,12,1,1,201.8
GUC_KESINTISI,YUKSEK,2.78,3,0,1,91.7
BELIRSIZ,ORTA,37.88,23,0,2,159.8
ISINMA,ORTA,0.63,5,1,3,117.8
BAGLANTI,YUKSEK,2.27,5,1,1,88.3
BELIRSIZ,ORTA,6.45,2,0,0,258.2
ISINMA,DUSUK,2.56,11,0,1,131.2
ISINMA,YUKSEK,7.44,20,0,1,81.8
GUC_KESINTISI,YUKSEK,9.85,22,1,1,109.0
ISINMA,ORTA,31.6,2,1,0,89.1
DONANIM,YUKSEK,2.07,4,1,0,232.5
BAGLANTI,DUSUK,0.3,22,1,1,152.7
GUC_KESINTISI,YUKSEK,0.3,21,0,1,100.8
GUC_KESINTISI,YUKSEK,6.46,1,0,0,120.5
GUC_KESINTISI,KRITIK,0.64,12,0,1,53.1
YAZILIM,KRITIK,13.74,10,0,3,69.4
BAGLANTI,YUKSEK,14.78,11,0,0,72.7
YAZILIM,YUKSEK,11.8,8,1,1,102.2
BAGLANTI,YUKSEK,8.76,2,0,1,90.2
BELIRSIZ,DUSUK,0.35,11,1,1,182.3
BELIRSIZ,ORTA,6.97,15,0,0,124.6
BAGLANTI,ORTA,9.17,7,1,1,126.1
BAGLANTI,YUKSEK,4.61,4,0,0,89.2
BELIRSIZ,YUKSEK,10.68,11,0,1,161.4
GUC_KESINTISI,KRITIK,3.41,1,0,0,86.7
GUC_KESINTISI,YUKSEK,2.16,8,0,1,130.9
DONANIM,DUSUK,15.39,23,0,0,179.6
ISINMA,ORTA,5.93,19,0,1,98.5
YAZILIM,YUKSEK,26.52,10,0,0,51.8
BELIRSIZ,ORTA,1.23,10,0,0,223.6
DONANIM,YUKSEK,6.73,0,1,1,199.3
GUC_KESINTISI,DUSUK,4.1,1,0,2,123.7
BAGLANTI,ORTA,25.15,1,1,1,151.7
ISINMA,ORTA,3.43,5,0,0,78.0
ISINMA,YUKSEK,4.21,2,0,1,124.8
YAZILIM,ORTA,6.84,21,0,0,40.8
YAZILIM,ORTA,6.17,10,1,0,78.9
YAZILIM,YUKSEK,2.83,21,0,1,63.7
BAGLANTI,YUKSEK,21.35,15,0,2,111.2
BELIRSIZ,YUKSEK,2.21,19,0,3,148.7
BAGLANTI,ORTA,0.3,21,0,0,72.8
ISINMA,ORTA,26.76,19,1,1,113.1
BAGLANTI,KRITIK,11.7,3,1,0,143.3
GUC_KESINTISI,KRITIK,5.61,23,0,1,256.8
YAZILIM,YUKSEK,5.06,20,0,1,27.2
GUC_KESINTISI,YUKSEK,7.8,17,0,1,237.1
BAGLANTI,ORTA,4.56,2,0,0,145.5
ISINMA,DUSUK,2.99,19,0,2,98.8
BELIRSIZ,ORTA,11.0,21,1,3,107.3
GUC_KESINTISI,DUSUK,4.6,0,0,0,158.2
GUC_KESINTISI,YUKSEK,7.55,13,0,4,213.4
ISINMA,ORTA,2.42,19,1,0,95.5
ISINMA,KRITIK,6.72,12,1,6,124.0
BAGLANTI,ORTA,0.51,20,0,3,45.3
BAGLANTI,KRITIK,0.4,11,1,0,74.5
ISINMA,ORTA,3.68,9,0,0,94.0
ISINMA,DUSUK,0.3,13,0,1,106.1
BAGLANTI,YUKSEK,14.68,7,0,0,64.6
YAZILIM,YUKSEK,26.74,0,0,1,58.6
BELIRSIZ,ORTA,1.74,22,0,2,246.4
GUC_KESINTISI,YUKSEK,15.34,13,1,1,61.6
BELIRSIZ,ORTA,8.62,0,1,0,37.3
GUC_KESINTISI,YUKSEK,21.77,11,0,0,97.9
BELIRSIZ,ORTA,10.24,11,0,0,131.6
BELIRSIZ,ORTA,0.3,16,0,1,137.4
ISINMA,YUKSEK,9.41,23,0,1,53.4
BAGLANTI,ORTA,45.0,4,1,0,58.3
DONANIM,ORTA,2.7,14,1,4,127.3
BAGLANTI,ORTA,3.07,21,0,1,165.9
BELIRSIZ,ORTA,8.04,12,0,0,34.8
YAZILIM,ORTA,2.12,18,0,3,96.9
YAZILIM,DUSUK,0.68,13,0,1,27.4
ISINMA,YUKSEK,1.05,20,0,0,88.5
GUC_KESINTISI,KRITIK,0.49,18,0,0,135.6
DONANIM,YUKSEK,8.29,18,0,1,140.7
ISINMA,ORTA,20.13,17,1,1,185.5
GUC_KESINTISI,YUKSEK,11.94,3,0,0,110.8
DONANIM,ORTA,5.68,17,1,1,202.6
GUC_KESINTISI,DUSUK,3.66,16,1,2,149.8
BAGLANTI,ORTA,15.05,15,1,0,67.8
ISINMA,YUKSEK,6.31,10,0,0,100.5
BAGLANTI,ORTA,6.17,9,0,3,146.0
DONANIM,ORTA,0.45,5,1,1,297.5
DONANIM,YUKSEK,32.1,17,0,0,228.9
GUC_KESINTISI,ORTA,0.52,19,0,0,176.8
BELIRSIZ,YUKSEK,5.13,4,0,3,164.4
DONANIM,ORTA,17.27,4,1,1,200.8
BAGLANTI,YUKSEK,1.75,2,1,0,159.6
BELIRSIZ,DUSUK,2.98,4,0,1,157.3
ISINMA,ORTA,27.9,12,0,1,135.0
DONANIM,ORTA,3.9,5,0,6,212.0
GUC_KESINTISI,ORTA,8.73,10,1,1,92.8
GUC_KESINTISI,YUKSEK,2.15,6,0,1,74.9
BAGLANTI,DUSUK,12.95,8,1,2,74.1
BELIRSIZ,ORTA,14.19,20,0,1,174.1
BAGLANTI,ORTA,3.87,0,0,3,108.3
YAZILIM,YUKSEK,7.34,17,0,0,72.6
BAGLANTI,YUKSEK,9.34,16,0,1,72.7
DONANIM,YUKSEK,34.61,20,1,1,287.5
DONANIM,ORTA,0.86,13,0,0,137.5
YAZILIM,YUKSEK,0.3,10,1,1,31.1
BELIRSIZ,ORTA,30.62,6,0,0,199.4
