signal_strength,packet_loss,temperature,power_status,historical_fault_count,temperature_trend,signal_delta,packet_loss_ma,fault_type
-79.21,3.75,81.6,NORMAL,2,2.83,-4.26,5.37,ISINMA
-88.04,3.89,72.23,NORMAL,1,4.05,-4.01,0.08,ISINMA
-78.91,1.14,43.61,NORMAL,0,-0.15,0.17,1.59,NORMAL
-102.52,51.22,32.88,NORMAL,2,0.05,-12.23,50.23,BAGLANTI
-107.74,23.36,38.2,NORMAL,1,-0.32,-11.4,26.53,BAGLANTI
-77.87,4.08,42.36,NORMAL,3,0.06,-3.08,6.67,YAZILIM
-110,15.02,43.52,UNSTABLE,1,0.71,-18.36,32.33,GUC_KESINTISI
-90.68,50.0,38.65,NORMAL,0,-0.04,-8.8,50.81,BAGLANTI
-73.94,10.0,34.17,NORMAL,1,0.26,6.21,5.95,YAZILIM
-108.25,22.21,32.4,OUTAGE,0,-1.25,-18.15,53.47,GUC_KESINTISI
-105.96,1.16,29.55,NORMAL,0,-0.99,-1.68,1.34,NORMAL
-81.38,5.42,76.24,NORMAL,2,3.12,-1.61,4.47,ISINMA
-68.92,0.77,41.21,NORMAL,3,-0.51,-4.51,0,YAZILIM
-80.88,7.35,72.47,NORMAL,0,5.25,-2.46,2.57,ISINMA
-76.5,5.92,71.87,NORMAL,3,4.86,-5.23,10.83,ISINMA
-102.3,27.29,38.62,NORMAL,1,0.23,-10.72,28.14,BAGLANTI
-97.11,1.36,37.11,NORMAL,1,-0.37,0.04,1.34,NORMAL
-104.56,26.08,30.64,NORMAL,2,-0.08,-12.57,29.52,BAGLANTI
-72.94,1.19,42.71,NORMAL,0,-0.27,4.94,3.92,NORMAL
-81.64,4.89,80.79,NORMAL,1,4.02,-3.94,7.98,ISINMA
-75.17,1.98,93.75,NORMAL,3,4.35,-1.96,0.26,ISINMA
-104.13,40.61,43.9,UNSTABLE,2,0.34,-11.33,50.43,GUC_KESINTISI
-87.51,9.17,71.94,NORMAL,2,0.94,-8.54,10.84,DONANIM
-97.26,29.87,36.21,NORMAL,1,0.59,-11.24,30.63,BAGLANTI
-105.56,38.95,39.72,NORMAL,2,0.86,-2.72,39.29,BAGLANTI
-97.48,20.22,79.82,UNSTABLE,0,0.07,-5.01,21.23,DONANIM
-91.72,0.23,36.92,NORMAL,2,4.28,-8.49,0,YAZILIM
-79.77,2.41,87.83,NORMAL,2,3.39,-2.03,8.36,ISINMA
-76.7,0,71.01,NORMAL,1,2.83,-2.56,7.2,ISINMA
-98.66,23.48,68.77,UNSTABLE,0,-0.22,-9.7,26.61,DONANIM
-106.87,34.2,33.06,OUTAGE,1,1.2,-16.6,37.76,GUC_KESINTISI
-88.81,0.96,29.05,NORMAL,0,0.14,-0.69,0.73,NORMAL
-105.95,16.69,80.9,UNSTABLE,1,0.86,-5.86,13.54,DONANIM
-78.01,3.12,34.2,NORMAL,1,-0.73,-6.24,9.2,YAZILIM
-81.8,4.62,46.83,NORMAL,3,0.32,-0.7,0.05,YAZILIM
-107.56,0.05,34.72,NORMAL,0,0.17,-1.15,0,NORMAL
-87.22,7.57,34.11,NORMAL,0,-0.7,0.36,6.5,NORMAL
-110,14.07,31.91,UNSTABLE,0,1.75,-21.19,13.27,GUC_KESINTISI
-81.9,3.51,40.34,NORMAL,0,0.53,-1.29,4.49,NORMAL
-101.62,22.27,35.98,OUTAGE,0,2.23,-15.89,24.36,GUC_KESINTISI
-80.98,1.26,29.59,NORMAL,0,-0.17,-0.78,1.31,NORMAL
-104.49,21.01,35.63,NORMAL,0,0.58,-8.33,18.46,BAGLANTI
-88.83,8.31,46.69,NORMAL,2,3.11,9.75,5.81,YAZILIM
-94.14,17.56,88.41,NORMAL,2,3.38,-13.61,22.76,DONANIM
-90.21,0.66,30.09,NORMAL,1,-0.02,-0.65,0.52,NORMAL
-93.94,28.63,44.87,NORMAL,0,0.28,-9.45,29.59,BAGLANTI
-101.47,34.7,34.04,NORMAL,0,0.19,-4.25,36.49,BAGLANTI
-75.87,5.06,77.71,NORMAL,0,2.34,-3.39,8.11,ISINMA
-92.68,12.37,56.58,NORMAL,3,2.54,-6.63,16.49,DONANIM
-82.83,0.81,40.38,NORMAL,1,0.24,-1.77,0.48,NORMAL
-74.09,14.79,36.42,NORMAL,3,-0.07,2.39,11.41,YAZILIM
-65.71,7.95,35.95,NORMAL,4,-1.74,-8.85,8.9,YAZILIM
-88.54,22.58,43.95,UNSTABLE,0,1.01,-7.25,35.65,GUC_KESINTISI
-78.64,0.55,32.01,NORMAL,0,-0.09,-0.18,0.6,NORMAL
-97.36,14.93,78.18,NORMAL,1,1.47,-8.41,16.93,DONANIM
-87.61,1.79,37.85,NORMAL,0,0.37,-1.86,1.62,NORMAL
-76.18,5.5,81.09,NORMAL,1,4.27,-6.74,8.08,ISINMA
-108.53,16.35,38.63,OUTAGE,1,2.02,-4.13,39.87,GUC_KESINTISI
-79.3,10.1,54.44,NORMAL,2,2.51,3.69,11.47,YAZILIM
-85.51,14.48,42.4,NORMAL,1,2.36,-1.9,13.9,YAZILIM
-99.37,29.62,61.46,NORMAL,2,2.29,-8.59,35.2,DONANIM
-100.57,15.26,78.04,NORMAL,2,-0.64,-8.14,10.05,DONANIM
-97.77,1.19,34.17,NORMAL,1,-0.31,-1.55,0.99,NORMAL
-81.11,10.64,79.28,NORMAL,1,5.93,0.54,9.09,ISINMA
-94.61,15.35,72.16,NORMAL,3,1.53,-4.81,19.09,DONANIM
-110,22.97,38.58,OUTAGE,1,1.7,-20.55,66.48,GUC_KESINTISI
-88.97,1.6,38.29,NORMAL,0,-0.6,0.84,1.41,NORMAL
-67.66,8.7,41.53,NORMAL,4,-0.4,4.11,4.48,YAZILIM
-85.44,18.64,49.13,UNSTABLE,3,0.23,-9.84,13.07,DONANIM
-105.76,16.7,40.6,NORMAL,1,-0.47,-10.67,18.17,BAGLANTI
-94.2,16.13,69.18,NORMAL,1,-2.87,-13.63,16.68,DONANIM
-79.18,15.7,36.44,NORMAL,2,-4.59,-4.61,15.55,YAZILIM
-104.43,15.71,65.91,NORMAL,0,4.15,-6.63,14.46,DONANIM
-76.3,1.09,35.2,NORMAL,1,-0.47,-1.74,0.91,NORMAL
-65.56,0.43,34.81,NORMAL,0,0.13,3.07,0.14,NORMAL
-76.15,2.54,33.94,NORMAL,1,-5.04,4.39,3.41,YAZILIM
-80.42,0.53,35.6,NORMAL,0,0.27,-0.27,0.53,NORMAL
-84.59,1.07,37.11,NORMAL,0,0.45,2.48,1.09,NORMAL
-86.22,8.04,74.92,NORMAL,1,2.31,-3.07,9.24,ISINMA
-95.08,36.41,38.63,NORMAL,2,0.41,-12.78,35.45,BAGLANTI
-68.21,14.03,39.29,NORMAL,1,-0.76,-0.2,5.65,YAZILIM
-56.56,17.35,42.19,NORMAL,2,-0.16,-10.46,13.78,YAZILIM
-99.83,34.39,30.26,NORMAL,1,0.81,-8.19,38.45,BAGLANTI
-93.01,1.53,33.92,NORMAL,2,-0.51,0.75,2.62,NORMAL
-83.94,18.55,47.05,NORMAL,2,2.3,5.27,15.48,YAZILIM
-98.78,27.38,33.14,UNSTABLE,2,-0.61,-15.79,17.82,GUC_KESINTISI
-96.58,20.83,45.52,NORMAL,1,4.88,-10.64,19.89,DONANIM
-98.18,25.68,36.72,NORMAL,1,0.09,-9.16,24.78,BAGLANTI
-89.4,9.99,75.73,NORMAL,0,1.72,-2.82,6.88,ISINMA
-94.81,27.71,30.28,OUTAGE,0,1.29,-7.26,19.78,GUC_KESINTISI
-92.17,0.77,37.0,NORMAL,0,1.17,-1.23,0.44,NORMAL
-110,26.43,35.8,OUTAGE,1,0.32,-21.98,46.91,GUC_KESINTISI
-98.71,7.53,71.08,UNSTABLE,2,1.48,-8.04,11.35,DONANIM
-77.65,1.16,31.62,NORMAL,0,-0.74,4.32,0.84,NORMAL
-92.38,0.49,35.99,NORMAL,1,0.02,-0.16,0.65,NORMAL
-84.38,1.52,34.13,NORMAL,0,0.18,-0.09,1.17,NORMAL
-61.74,10.87,42.4,NORMAL,3,-2.41,-5.81,5.22,YAZILIM
-77.94,6.35,95.63,NORMAL,2,2.53,-2.69,3.57,ISINMA
-78.13,6.43,72.59,NORMAL,1,3.93,-3.04,4.01,ISINMA
-78.21,0,34.37,NORMAL,2,-0.63,5.54,1.72,YAZILIM
-88.39,14.9,72.53,UNSTABLE,2,-1.01,2.54,15.07,DONANIM
-83.58,9.93,79.89,UNSTABLE,3,1.84,-5.56,13.94,DONANIM
-110.0,37.04,38.45,NORMAL,2,-0.25,-15.19,42.44,BAGLANTI
-81.61,15.07,67.97,NORMAL,3,0.72,-3.98,22.23,DONANIM
-81.32,0,37.95,NORMAL,3,-0.13,-2.88,0,YAZILIM
-101.04,32.39,40.98,NORMAL,1,1.05,-9.44,32.36,BAGLANTI
-87.21,5.59,74.41,NORMAL,1,2.34,-4.01,6.32,ISINMA
-93.78,18.53,68.72,NORMAL,3,5.61,-2.45,20.45,DONANIM
-101.81,1.5,37.37,NORMAL,1,0.36,0.08,1.34,NORMAL
-87.98,29.18,38.66,OUTAGE,1,1.66,-16.67,58.63,GUC_KESINTISI
-82.49,23.42,83.02,NORMAL,1,3.6,-7.67,24.0,DONANIM
-103.19,31.95,44.37,OUTAGE,0,1.25,-16.62,11.9,GUC_KESINTISI
-92.12,18.57,72.31,UNSTABLE,1,-0.34,-7.9,16.78,DONANIM
-89.01,0.26,30.54,NORMAL,0,-0.12,1.93,0.47,NORMAL
-105.94,25.69,29.74,NORMAL,0,0.34,-10.34,22.82,BAGLANTI
-98.66,1.32,34.17,NORMAL,1,0.04,1.57,1.63,NORMAL
-69.95,6.29,45.21,NORMAL,3,-0.71,-2.21,7.14,YAZILIM
-75.28,8.49,36.51,OUTAGE,1,-0.46,-21.13,30.5,GUC_KESINTISI
-87.62,0.5,35.62,NORMAL,0,-0.41,2.4,0.08,NORMAL
-76.07,1.14,30.96,NORMAL,1,0.19,1.84,1.13,NORMAL
-76.23,6.93,85.5,NORMAL,2,5.29,-2.39,5.45,ISINMA
-68.21,12.4,83.43,NORMAL,1,2.28,-3.59,5.53,ISINMA
-89.21,3.79,44.54,NORMAL,2,-1.99,-1.73,9.23,YAZILIM
-101.56,50.25,30.63,NORMAL,0,0.3,-10.41,50.37,BAGLANTI
-84.22,2.9,74.37,NORMAL,1,3.66,-4.71,6.26,ISINMA
-98.41,20.09,62.22,NORMAL,2,4.54,-11.71,20.42,DONANIM
-92.1,19.59,69.56,UNSTABLE,3,3.65,-7.79,23.09,DONANIM
-72.62,11.34,43.85,NORMAL,2,-1.42,-2.6,14.01,YAZILIM
-85.53,17.03,69.91,NORMAL,1,-3.29,-9.38,19.06,DONANIM
-101.15,0.93,36.05,NORMAL,0,-0.26,1.18,1.39,NORMAL
-103.35,34.92,44.78,UNSTABLE,1,1.46,-13.46,47.04,GUC_KESINTISI
-74.63,1.31,32.57,NORMAL,0,0.35,-2.27,1.21,NORMAL
-77.21,2.53,36.47,NORMAL,0,-0.37,-1.82,1.98,NORMAL
-83.75,24.11,66.44,UNSTABLE,2,0.32,-6.6,23.12,DONANIM
-98.41,30.26,65.51,UNSTABLE,4,3.09,-9.06,36.78,DONANIM
-101.53,37.08,29.51,NORMAL,2,1.1,-10.37,38.37,BAGLANTI
-64.25,10.58,35.52,NORMAL,3,0.37,-1.04,8.6,YAZILIM
-86.7,6.25,70.95,NORMAL,2,0.54,-11.01,10.65,DONANIM
-102.56,34.4,31.46,NORMAL,0,-0.16,-8.16,34.34,BAGLANTI
-83.67,0.77,30.73,NORMAL,0,-0.1,1.79,0.97,NORMAL
-98.4,19.08,69.99,UNSTABLE,1,0.41,-5.93,18.23,DONANIM
-61.84,1.75,29.4,NORMAL,0,0.21,1.17,1.35,NORMAL
-110,14.45,36.23,OUTAGE,2,0.43,-18.75,24.28,GUC_KESINTISI
-72.9,3.52,91.88,NORMAL,1,5.62,-1.14,2.64,ISINMA
-73.37,7.62,81.07,NORMAL,2,2.63,-5.22,9.07,ISINMA
-96.57,43.77,36.16,UNSTABLE,1,1.58,-15.05,24.26,GUC_KESINTISI
-92.67,22.0,78.75,UNSTABLE,1,2.91,-2.11,19.54,DONANIM
-97.49,32.61,39.78,UNSTABLE,0,0.38,-15.61,39.09,GUC_KESINTISI
-106.65,16.57,33.43,NORMAL,1,-0.83,-6.5,16.52,BAGLANTI
-93.81,29.06,67.31,NORMAL,2,3.0,-14.15,25.94,DONANIM
-82.27,16.24,74.97,NORMAL,0,3.21,-5.54,13.53,DONANIM
-63.39,9.74,39.32,NORMAL,1,-1.72,-3.85,17.09,YAZILIM
-97.49,20.81,38.88,NORMAL,0,0.28,-12.91,24.15,BAGLANTI
-70.61,13.33,35.85,NORMAL,2,-2.8,1.83,16.95,YAZILIM
-103.7,23.26,39.9,UNSTABLE,1,-0.13,-15.7,40.93,GUC_KESINTISI
-86.27,0.66,32.25,NORMAL,0,-0.29,1.4,0.54,NORMAL
-87.11,38.86,31.62,UNSTABLE,2,-1.24,-9.96,35.78,GUC_KESINTISI
-69.37,7.71,80.8,NORMAL,1,2.22,-1.63,8.25,ISINMA
-75.53,3.65,85.77,NORMAL,3,4.93,-3.13,8.68,ISINMA
-87.1,0.82,33.88,NORMAL,0,-0.93,-1.5,0.4,NORMAL
-78.33,13.3,44.11,NORMAL,3,-0.13,3.88,10.7,YAZILIM
-110,25.15,84.92,NORMAL,0,4.38,-1.26,24.35,DONANIM
-90.33,50.6,32.83,NORMAL,1,-0.13,-11.05,48.92,BAGLANTI
-90.77,26.09,42.49,NORMAL,0,-0.62,-14.64,23.3,BAGLANTI
-87.05,11.44,36.7,NORMAL,2,-1.78,-5.49,9.4,YAZILIM
-107.93,26.9,30.85,OUTAGE,1,-2.08,-19.01,21.62,GUC_KESINTISI
-108.96,23.88,34.6,NORMAL,2,0.43,-13.56,32.95,BAGLANTI
-80.95,6.07,77.32,NORMAL,1,2.79,-1.51,7.23,ISINMA
-80.19,9.48,83.73,NORMAL,1,5.63,-0.48,1.16,ISINMA
-104.87,37.69,43.27,UNSTABLE,0,0.63,-15.74,41.39,GUC_KESINTISI
-89.47,10.06,69.31,UNSTABLE,1,4.1,-9.95,8.55,DONANIM
-93.08,24.39,35.48,OUTAGE,0,-1.2,-24.33,47.62,GUC_KESINTISI
-101.96,28.47,35.75,UNSTABLE,1,-0.37,-10.54,38.8,GUC_KESINTISI
-74.69,14.31,26.95,NORMAL,4,0.55,0.87,16.39,YAZILIM
-101.39,43.44,34.48,NORMAL,0,-0.06,-3.33,41.29,BAGLANTI
-86.75,25.85,34.88,OUTAGE,1,1.36,-25.36,14.44,GUC_KESINTISI
-102.48,9.74,66.67,UNSTABLE,1,2.02,-5.45,7.23,DONANIM
-97.52,34.87,34.03,NORMAL,1,-0.17,-12.14,36.11,BAGLANTI
-79.76,9.93,51.95,NORMAL,1,3.07,-5.56,9.85,YAZILIM
-102.88,33.67,33.23,NORMAL,0,-0.95,-12.87,33.49,BAGLANTI
-91.39,43.48,34.82,NORMAL,0,0.29,-16.95,46.72,BAGLANTI
-81.27,0.66,37.07,NORMAL,0,0.29,-2.33,0.58,NORMAL
-93.58,46.79,27.75,NORMAL,2,-0.72,-8.28,50.28,BAGLANTI
-88.71,13.26,63.9,UNSTABLE,2,0.65,-12.36,13.92,DONANIM
-67.31,5.51,43.77,NORMAL,2,-0.67,-6.52,5.31,YAZILIM
-93.19,31.01,63.67,NORMAL,2,1.94,-8.02,34.78,DONANIM
-91.86,24.43,64.19,UNSTABLE,2,-0.26,-4.24,22.75,DONANIM
-85.55,6.78,75.62,NORMAL,2,2.89,-5.42,3.86,ISINMA
-77.16,1.38,32.93,NORMAL,0,-0.92,0.44,1.18,NORMAL
-59.76,8.63,41.06,NORMAL,1,-2.92,3.84,9.51,YAZILIM
-85.04,1.09,35.88,NORMAL,0,-0.08,-2.1,1.16,NORMAL
-93.6,29.62,37.49,OUTAGE,2,0.81,-20.95,18.1,GUC_KESINTISI
-102.98,17.25,94.55,NORMAL,1,1.72,-4.1,18.52,DONANIM
-90.58,9.59,72.99,NORMAL,1,5.79,-4.37,3.5,ISINMA
-97.03,5.97,72.92,NORMAL,1,0.01,-5.01,2.3,DONANIM
-96.45,31.74,42.74,OUTAGE,0,0.53,-15.87,28.34,GUC_KESINTISI
-90.42,26.84,33.9,NORMAL,0,0.05,-6.01,19.53,BAGLANTI
-88.64,1.05,30.03,NORMAL,0,-0.6,1.33,1.05,NORMAL
-93.85,24.05,64.29,NORMAL,1,3.84,-11.65,24.33,DONANIM
-106.01,41.59,31.65,NORMAL,0,0.2,-10.81,42.35,BAGLANTI
-83.59,8.21,31.24,NORMAL,2,1.55,0.96,13.32,YAZILIM
-97.95,38.77,36.49,NORMAL,0,0.33,-5.36,42.26,BAGLANTI
-75.9,0.2,79.8,NORMAL,1,2.41,-2.05,7.17,ISINMA
-69.23,10.72,72.23,NORMAL,3,4.9,-7.41,4.96,ISINMA
-87.1,1.5,32.15,NORMAL,1,0.18,-2.1,1.62,NORMAL
-90.03,7.78,67.74,UNSTABLE,2,-1.31,-10.03,9.02,DONANIM
-101.59,50.15,33.2,NORMAL,2,0.33,-12.33,52.2,BAGLANTI
-80.28,7.85,31.23,NORMAL,2,-0.93,3.46,10.54,YAZILIM
-79.19,1.72,32.37,NORMAL,0,0.02,-0.44,1.7,NORMAL
-99.45,31.21,33.72,NORMAL,0,-0.61,-5.5,33.07,BAGLANTI
-73.27,15.11,43.78,NORMAL,4,1.05,2.77,13.79,YAZILIM
-87.65,16.53,33.81,OUTAGE,0,-0.97,-22.56,16.19,GUC_KESINTISI
-85.99,1.15,28.77,NORMAL,1,-0.23,0.19,1.48,NORMAL
-78.9,0.67,40.16,NORMAL,1,0.99,0.05,0.77,NORMAL
-97.61,25.45,38.22,NORMAL,0,-0.01,-8.03,26.92,BAGLANTI
-100.56,18.43,55.07,NORMAL,2,1.57,-8.7,19.72,DONANIM
-76.98,11.24,37.34,NORMAL,1,-4.34,5.18,13.1,YAZILIM
-85.12,12.86,83.54,NORMAL,2,2.19,-8.16,11.59,DONANIM
-87.88,15.82,43.85,NORMAL,2,4.31,-6.33,13.32,DONANIM
-73.62,3.21,51.45,NORMAL,3,2.69,5.11,0,YAZILIM
-74.72,1.4,30.62,NORMAL,2,0.99,0.28,1.13,NORMAL
-74.42,13.5,72.78,NORMAL,1,1.62,-6.69,13.66,ISINMA
-80.32,6.52,80.45,NORMAL,1,4.85,-0.4,0.53,ISINMA
-70.56,4.88,36.48,NORMAL,2,1.62,6.9,0,YAZILIM
-78.34,5.75,47.96,NORMAL,1,2.16,-4.99,7.9,YAZILIM
-104.41,40.13,36.24,NORMAL,2,0.62,-13.27,40.18,BAGLANTI
-86.02,24.36,41.02,NORMAL,2,1.68,-8.56,32.41,YAZILIM
-100.88,29.44,33.14,NORMAL,0,0.02,-11.66,35.82,BAGLANTI
-88.8,5.76,68.44,NORMAL,1,4.9,-1.42,7.21,ISINMA
-81.26,4.74,73.33,NORMAL,0,2.48,-2.81,0.5,ISINMA
-97.1,23.43,60.84,NORMAL,3,1.02,-12.46,23.39,DONANIM
-93.35,9.72,57.91,UNSTABLE,2,-2.19,-0.29,13.28,DONANIM
-78.36,3.66,83.85,NORMAL,1,2.7,-0.39,5.61,ISINMA
-98.03,21.39,34.63,NORMAL,1,-0.01,-8.18,22.62,BAGLANTI
-101.89,36.9,38.77,NORMAL,1,0.73,-13.41,39.85,BAGLANTI
-95.09,1.06,43.82,NORMAL,1,0.44,-0.03,1.29,NORMAL
-83.56,5.35,61.58,NORMAL,2,2.74,-3.35,2.53,ISINMA
-75.87,6.45,85.08,NORMAL,1,5.08,-0.07,4.16,ISINMA
-93.48,45.04,38.36,NORMAL,0,-1.04,-9.46,41.23,BAGLANTI
-84.56,3.01,75.24,NORMAL,1,3.5,-1.19,2.26,ISINMA
-77.22,1.83,40.4,NORMAL,2,-0.1,-4.65,2.75,YAZILIM
-104.33,9.82,63.36,NORMAL,2,-0.32,-11.47,11.61,DONANIM
-93.89,3.87,80.94,NORMAL,2,3.13,-10.3,9.72,DONANIM
-78.66,6.84,75.75,NORMAL,1,4.0,-5.21,7.12,ISINMA
-83.48,0.61,34.32,NORMAL,1,-0.1,-0.25,0.46,NORMAL
-81.15,7.54,72.17,NORMAL,1,2.56,-2.14,6.24,ISINMA
-71.54,4.71,83.93,NORMAL,1,5.56,-2.72,6.93,ISINMA
-98.76,20.2,37.14,NORMAL,1,0.0,-10.48,12.47,BAGLANTI
-100.78,28.28,39.47,OUTAGE,1,0.71,-19.15,16.63,GUC_KESINTISI
-80.62,8.84,37.15,NORMAL,2,-4.56,0.52,9.75,YAZILIM
-91.02,29.29,37.57,NORMAL,0,0.07,-13.01,37.52,BAGLANTI
-86.49,36.84,30.02,UNSTABLE,1,0.2,-13.43,34.7,GUC_KESINTISI
-98.68,19.82,43.06,NORMAL,0,-0.46,-12.76,13.86,BAGLANTI
-89.06,12.31,84.03,NORMAL,1,3.62,-3.51,9.62,ISINMA
-84.08,0.38,91.14,NORMAL,1,3.49,-1.17,4.8,ISINMA
-95.84,43.99,38.23,NORMAL,0,-0.12,-8.67,47.6,BAGLANTI
-91.92,34.88,40.19,NORMAL,1,0.49,-10.08,38.45,BAGLANTI
-71.98,10.87,30.44,NORMAL,2,1.13,1.13,10.18,YAZILIM
-98.03,18.56,82.52,NORMAL,1,4.69,-8.38,8.56,DONANIM
-97.31,21.55,66.54,UNSTABLE,4,3.84,-3.4,23.16,DONANIM
-78.39,5.45,90.09,NORMAL,3,4.35,-3.86,8.81,ISINMA
-90.9,20.66,62.7,NORMAL,3,0.23,-15.11,23.0,DONANIM
-93.08,25.86,35.37,UNSTABLE,1,0.64,-15.79,48.74,GUC_KESINTISI
-77.43,9.13,79.71,NORMAL,0,4.67,-1.81,1.92,ISINMA
-74.19,2.31,42.65,NORMAL,2,-1.04,-12.25,3.52,YAZILIM
-91.69,3.88,38.19,NORMAL,2,-0.4,-7.43,5.69,YAZILIM
-92.2,8.44,78.87,NORMAL,1,2.4,-2.56,8.62,ISINMA
-100.77,25.19,95.27,NORMAL,3,-0.86,-4.14,23.11,DONANIM
-98.6,1.09,32.23,NORMAL,0,-0.08,-2.78,1.3,NORMAL
-100.61,10.05,73.03,NORMAL,0,-2.04,-10.84,7.47,DONANIM
-79.15,9.02,94.26,NORMAL,2,4.27,-4.01,8.4,ISINMA
-95.36,45.06,41.99,NORMAL,1,-0.32,-9.82,52.04,BAGLANTI
-95.97,32.98,41.96,OUTAGE,0,0.94,-10.96,42.75,GUC_KESINTISI
-62.69,10.37,87.4,NORMAL,1,2.5,-7.29,9.14,ISINMA
-73.19,4.84,68.34,NORMAL,2,3.49,-6.31,4.92,ISINMA
-72.31,8.87,38.1,NORMAL,2,2.48,9.98,11.72,YAZILIM
-71.6,11.12,69.43,NORMAL,1,3.97,-3.82,7.6,ISINMA
-96.01,20.97,83.44,NORMAL,2,1.24,-7.86,21.53,DONANIM
-92.32,1.04,30.29,NORMAL,0,0.42,-0.06,1.47,NORMAL
-62.08,14.08,34.44,NORMAL,2,-1.76,-10.48,13.0,YAZILIM
-72.76,0.45,81.91,NORMAL,0,4.71,-1.18,7.66,ISINMA
-80.99,9.53,75.44,NORMAL,1,5.72,-1.67,2.92,ISINMA
-103.91,1.15,32.08,NORMAL,0,-0.23,2.06,0.72,NORMAL
-69.33,0.38,29.35,NORMAL,0,-0.52,-0.4,0,NORMAL
-81.0,5.65,84.2,NORMAL,2,2.52,-2.27,1.02,ISINMA
-108.15,28.61,24.83,NORMAL,1,-0.58,-10.09,32.45,BAGLANTI
-107.32,25.51,42.96,UNSTABLE,1,0.38,-22.7,30.85,GUC_KESINTISI
-77.2,0.28,33.07,NORMAL,0,-0.32,-1.25,0.1,NORMAL
-98.12,46.21,37.55,NORMAL,1,0.07,-4.75,42.1,BAGLANTI
-62.17,1.14,40.46,NORMAL,0,-0.06,0.48,1.66,NORMAL
-60.43,7.3,43.26,NORMAL,1,-0.08,2.47,0,YAZILIM
-72.0,2.86,77.24,NORMAL,2,4.26,-0.57,4.87,ISINMA
-97.18,27.52,68.2,NORMAL,1,1.0,-6.5,24.63,DONANIM
-82.25,8.4,75.85,NORMAL,0,4.57,-3.21,5.11,ISINMA
-86.26,5.43,81.12,NORMAL,1,4.78,2.46,7.58,ISINMA
-97.12,33.86,70.88,NORMAL,1,2.5,-11.82,34.05,DONANIM
-81.07,4.14,74.15,NORMAL,2,4.2,-0.5,5.91,ISINMA
-107.45,20.45,64.4,NORMAL,3,0.13,-2.35,14.54,DONANIM
-99.53,34.75,37.31,OUTAGE,0,-0.77,-12.75,19.31,GUC_KESINTISI
